stock_code,description,revenue,units_sold,orders
46138B,BLUE CHENILLE SHAGGY CUSHION COVER,156.29,71,25
47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,156.13,55,29
84914A,PINK ROSE PICNIC RUG,155.7,6,5
20664,TROPICAL HOLIDAY PURSE,155.41,57,31
47369A,PINK GREEN EMBROIDERY COSMETIC BAG,155.16,52,25
90212B,JET BLACK LAS VEGAS BRACELET ROUND,155.13,41,28
90099,NECKLACE+BRACELET SET BLUE HIBISCUS,155.07,49,25
90065B,BLACK VINT ART DEC CRYSTAL BRACELET,154.87,22,16
90123B,TURQUOISE HEART OF GLASS BRACELET,154.69,26,13
23496,PANTRY KITCHEN THERMOMETER,154.52,112,31
72801c,4 ROSE PINK DINNER CANDLES,153.67,62,36
47518F,ICON PLACEMAT POP ART ELVIS,153.14,903,34
84989a,75 GREEN FAIRY CAKE CASES,152.7,75,41
79192A,RETRO PLASTIC 70'S TRAY,152.64,114,35
84622,PINK GINGHAM ROSE CUSHION COVER,152.6,23,9
90022,EDWARDIAN DROP EARRINGS JET BLACK,151.1,40,32
20952,PORCELAIN CHERUB BELL SMALL,150.72,329,24
90040C,MURANO STYLE GLASS BRACELET GOLD,150.56,42,21
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,150.45,51,16
90042C,FRESHWATER PEARL BRACELET IVORY,150.21,59,26
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,149.1,355,23
90040D,MURANO STYLE GLASS BRACELET PINK,148.87,41,25
35980C,REDWHITE STRIPE SCANDINAVIAN HEART,147.64,377,29
84720,DOT MATRIX CANVAS ART PICTURE,147.05,35,3
84510c,SET OF 4 POLKADOT COASTERS,146.39,59,34
90214M,"LETTER ""M"" BLING KEY RING",146.17,145,64
84527,FLAMES SUNGLASSES PINK LENSES,146.11,77,22
10120,DOGGY RUBBER,145.89,679,73
90214E,"LETTER ""E"" BLING KEY RING",144.38,148,67
35610B,BLACK CHRISTMAS FLOCK DROPLET,144.07,179,13
90016C,SILVER/BLACK PENDANT ORBIT NECKLACE,144.07,17,14
79191D,RETRO PLASTIC DAISY TRAY,143.87,138,56
84874B,BLUE TRAVEL FIRST AID KIT,143.41,87,36
90036B,"FLOWER GLASS GARLAND NECKL.36""GREEN",143.1,18,10
90177D,DROP DIAMANTE EARRINGS PURPLE,141.68,48,25
90202D,PINK ENAMEL FLOWER HAIR TIE,141.49,48,24
72740A,LARGE STRAWBERRY CHOCOLATE CANDLE,141.23,65,12
47590b,PINK HAPPY BIRTHDAY BUNTING,140.5,13,10
84617,NEW BAROQUE BLACK BOXES,140.25,11,7
84765,SILVER ROCOCO CANDELABRA,140.23,9,6
90194,SILVER LARIAT BLACK STONE EARRINGS,140.08,33,21
78026,SEAGRASS S/3 SQU LAUNDRY BOX,139.95,12,2
23463,VINTAGE ZINC WATERING CAN,139.4,13,8
90199D,5 STRAND GLASS NECKLACE AMBER,139.28,22,16
23304,SET 4 PICNIC CUTLERY CHERRY,138.45,71,9
72754B,F FAIRY POTPOURRI CUSHIONS LAVENDER,137.54,170,8
35816P,"ACRYLIC JEWEL ANGEL,PINK",137.43,297,9
90156,RESIN BRACELET W PASTEL BEADS,137.37,25,14
84549,CROCHET WHITE RABBIT KEYRING,137.27,75,16
84558a,3D DOG PICTURE PLAYING CARDS,136.99,23,19
84709A,SILVER OVAL JEWELLED MIRROR,136.85,23,13
S,SAMPLES,136.85,3,3
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,136.73,19,10
72134,COLUMBIAN CUBE CANDLE,136.51,340,29
35824P,"HANGING FLOWERS+MIRROR,PINK",136.44,324,3
90023,FILIGREE DIAMANTE EARRINGS,135.98,32,21
90024E,NEW BAROQUE B'FLY NECKLACE MONTANA,135.98,16,11
90038A,GLASS AND PAINTED BEADS BRACELET TO,135.8,36,22
17011D,ORIGAMI ROSE INCENSE+FLOWER,135.7,209,4
77079,DOLPHIN WINDMILL,135.68,64,12
90002A,FLOWER BURST SILVER RING OPAL,135.0,36,14
16020C,CLEAR STATIONERY BOX SET,134.5,160,39
22879,NUMBER TILE VINTAGE FONT 0,134.4,82,21
35015,JACOBS LADDER SMALL,134.08,2072,39
84555A,YELLOW VW BEETLE CERAMIC MONEY BOX,133.85,47,16
90101,WHITE FRANGIPANI NECKLACE,133.7,53,29
35609A,PINK FEATHER CHRISTMAS DECORATION,133.23,447,24
46137D,GREEN CHENILLE SHAGGY RUG,132.75,45,4
90190B,GOLD/AMBER DROP EARRINGS W LEAF,132.58,45,15
90137,PINK COMBO MINI CRYSTALS NECKLACE,132.52,26,15
45013,FOLDING SHOE TIDY,132.0,48,8
47592B,SCOTTIES DESIGN CHILD'S OVERALL,131.9,67,29
90165B,WHITE ROSEBUD PEARL EARRINGS,131.65,52,35
35933,PINK STOCKING CHRISTMAS DECORATION,131.38,319,28
90138,WHITE/PINK MINI CRYSTALS NECKLACE,131.15,25,17
84656,WHITE ROSE C/COVER,130.9,22,13
22888,NUMBER TILE VINTAGE FONT 9,130.83,79,23
16119,FUNKY GIRL ADDRESS BOOK,130.71,273,8
72133,COLUMBIAN CANDLE RECTANGLE,130.13,115,31
84925E,FLOWERS WALL THERMOMETER,130.05,75,3
20899,VINTAGE NOTEBOOK RED ROSE,129.8,44,12
90190A,SILVER/CRYSTAL DROP EARRINGS W LEAF,129.59,44,31
10080,GROOVY CACTUS INFLATABLE,129.29,315,27
85160a,WHITE BIRD GARDEN DESIGN MUG,129.04,8,3
84858A,NATURAL RIVIERA HANDBAG,128.83,53,8
90174,BUTTERFLY HAIR BAND,128.66,51,32
90181A,AMBER GLASS/SHELL/PEARL NECKLACE,128.64,14,14
84251G,"GREETING CARD, OVERCROWDED POOL.",128.41,473,91
84782B,BLACK 3 TIER GLASS PLATE STAND,127.5,10,6
90024D,NEW BAROQUE B'FLY NECKLACE PINK,127.5,15,13
85018C,S/6 PAPER BOXES CURIOUS IMAGES,127.2,36,4
16168S,FUNKY MONKEY GIFT BAG SMALL,126.83,1283,11
23303,SET 4 PICNIC CUTLERY FONDANT,126.75,65,6
81950B,FLOWER BLUE CLOCK W/SUCKER,126.74,216,34
90168,2 DAISIES HAIR COMB,126.72,43,24
84559D,3D SHEET OF SEA WORLD STICKERS,126.71,147,31
84367,LA STREGA CANVAS PICTURE,126.3,74,8
82607E,GLASS BONBON JAR. D'AMANDES,126.25,101,25
gift_0001_10,Dotcomgiftshop Gift Voucher £10.00,126.21,15,14
90108,BLUE BLOSSOM HAIR CLIP,125.83,109,21
23578,SNACK TRAY RED GINGHAM,125.72,60,14
90002C,FLOWER BURST SILVER RING MIDN'T BLU,124.38,33,19
90003E,GREEN PAIR HEART HAIR SLIDES,124.12,33,22
90162C,ANT SILVER FUSCHIA BOUDICCA RING,123.9,42,16
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,123.75,33,12
20816,GOLD FLOWER CUSHION COVER,123.6,24,7
22850,BREAD BIN DINER STYLE BLACK,123.6,8,1
23477,WOODLAND LARGE BLUE FELT HEART,123.47,92,13
21228,"POCKET MIRROR ""GLAMOROUS""",122.57,97,31
85190,PINK FLOWER HANGING HEART,122.46,138,17
79308B,MOSAIC CANDLE DISH BLUE PURPLE,122.4,144,2
90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE,122.31,78,24
35916A,YELLOW FELT HANGING HEART W FLOWER,122.0,135,44
44242B,PINK FEATHERS CURTAIN,121.53,109,9
35916B,BLUE FELT HANGING HEART WITH FLOWER,121.33,133,46
79532,MOSAIC GLASS BALL CANDLEHOLDER,121.25,97,18
84199,GLOW IN DARK DOLPHINS,121.08,554,69
23467,VINTAGE ZINC PLANTER,120.08,32,11
90051,CRACKED GLAZE NECKLACE RED,119.89,17,11
84886,BLUE METAL WALL SHELF,119.4,12,9
84288B,SET/2 BLUE NOODLE BASKETS,118.95,61,24
90179C,BLACK FINE BEAD NECKLACE W TASSEL,118.73,20,16
90018C,SILVER BLACK ORBIT DROP EARRINGS,118.51,28,20
35607A,PINK FLUFFY CHRISTMAS DECORATION,118.43,554,31
20887,BOX OF 6 PEBBLE CANDLES,118.39,18,8
90139,FLOWER BROOCH 4 ASSORTED COLOURS,118.24,23,18
90177C,DROP DIAMANTE EARRINGS CRYSTAL,117.9,40,24
84510E,SET OF 4 GREEN CAROUSEL COASTERS,117.77,148,28
35824C,"HANGING FLOWERS+MIRROR,CLEAR",117.05,235,8
71495B,CD WALL TIDY RED FLOWERS,116.61,306,18
72038P,PRICE'S CANDLE PEACH,116.5,1050,9
16206B,RED PURSE WITH PINK HEART,116.4,96,16
84751B,BLACK MEDIUM GLASS CAKE STAND,115.86,38,19
90071,RUBY GLASS CLUSTER EARRINGS,115.29,92,73
20848,ZINC HEART LATTICE CHARGER SMALL,115.05,39,12
20896,VINTAGE NOTEBOOK PINK FLOWER,115.05,39,14
84462,3 PINK HEN+CHICKS IN BASKET,114.86,100,14
23185,FRENCH STYLE STORAGE JAR JAM,114.85,317,30
20698,LITTLE PINK MONSTER SOFT TOY,114.45,47,21
23151,ZINC SWEETHEART SOAP DISH,114.33,61,21
90049,IVORY GOLD METAL BAG CHARM,114.24,20,6
17090D,VANILLA INCENSE 40 CONES IN TIN,113.95,95,28
21089,SET/6 GREEN SPRING PAPER CUPS,113.84,325,40
90030A,SPOTTED WHITE NATURAL SEED NECKLACE,113.76,79,10
84705B,FAIRY CAKES PHOTO FRAME,113.27,84,3
84249A,"GREETING CARD,SQUARE, DOUGHNUTS",113.22,252,34
44236,PINK/PURPLE CIRCLE CURTAIN,112.32,64,12
71510,SQUARE METAL CANDLEHOLDER BASE,112.05,177,17
90104,PURPLE FRANGIPANI HAIRCLIP,111.43,133,49
35966,FOLKART CHRISTMAS TREE T-LIGHT HOLD,111.34,255,26
10138,ASSORTED COLOUR JUMBO PEN,111.22,261,21
84493,BLUE/PINK NEST STRIPE BOX,111.12,1142,5
90103,PURPLE FRANGIPANI NECKLACE,110.85,44,30
90141A,GREEN PENDANT TRIPLE SHELL NECKLACE,110.46,21,17
82069,BEECH WOOD P/FRAME,109.85,17,11
85185F,LION SOCK PUPPET,109.15,37,19
84247H,PACK/12 DECOUPAGE CARD,109.13,42,20
20667,CHERRY BLOSSOM PURSE,108.69,40,24
90059D,DIAMANTE HAIR GRIP PACK/2 PERIDOT,108.43,65,40
35610A,PINK CHRISTMAS FLOCK DROPLET,107.94,144,12
72753C,S/3 FLWR FAIRY ROSE CANDLES,107.68,43,6
90118,PINK DAISY BAG CHARM,107.39,42,29
84539,KNITTED RABBIT DOLL,107.25,65,11
35840,FLAT GLASS BAUBLE WHITE FLOCK,107.13,45,11
23626,SET 10 CARDS DINKY TREE 17076,107.07,43,16
84562B,BLUE/WHITE RIBBED MELAMINE JUG,106.59,10,7
35096B,RED VICTORIAN FABRIC HEART BOX,106.49,293,25
90165A,PINK ROSEBUD PEARL EARRINGS,106.49,42,27
90169,DAISY HAIR COMB,106.49,42,23
22987,"WRAP , SUMMER ROSE DESIGN",105.84,252,11
84867A,PINK BABY GIRLS PHOTO ALBUM,105.82,16,4
84458,S/3 RABBIT FLOWER/EGG/CARROT ROPE,105.4,124,20
16169D,WRAP WINTER FOREST,105.0,250,9
23574,PACKING CHARGE,105.0,14,14
84921,CREAM AND PINK FLOWERS PONY,105.0,28,14
90079,VINTAGE ENAMEL & CRYSTAL NECKLACE,104.77,21,13
21118,SHOPPING BAG DOORSTOP,104.25,69,7
21337,SILVER WASHBAG,103.53,33,12
35910A,MULTICOLOUR EASTER RABBIT,103.35,53,13
84679,CLASSICAL ROSE TABLE LAMP,103.3,14,4
35594,WOODEN CHRISTMAS TREE 3 HANGING,103.06,165,39
84613A,PINK NEW BAROQUE FLOCK CANDLESTICK,102.3,22,10
90024C,NEW BAROQUE B'FLY NECKLACE GREEN,101.97,12,10
20697,LITTLE GREEN MONSTER SOFT TOY,101.7,42,21
90125C,TURQUOISE BERTIE GLASS BEAD CHARM,101.35,92,10
72369A,PINK CLEAR GLASS CANDLE PLATE,101.29,67,14
16248B,BLUE HOLE PUNCH,101.25,81,12
17084J,LOVE POTION MASALA INCENSE,101.01,481,20
85050,FRENCH ENAMEL SOAP DISH WITH LID,100.8,48,1
72821,CUPID SCENTED CANDLE IN GLASS,100.65,61,14
84968d,SET OF 16 VINTAGE RED CUTLERY,100.37,4,4
75172,PAINTED SEA SHELL METAL WINDCHIME,100.31,97,11
78027,SEAGRASS S/2 CORNER LAUNDRY,100.15,6,5
23611,SET 10 CARDS RED RIDING HOOD 17214,99.6,40,16
23464,VINTAGE ZINC WATERING CAN SMALL,99.2,18,8
84559a,3D SHEET OF DOG STICKERS,99.08,59,40
21266,VINTAGE SILVER TINSEL REEL,98.9,23,9
84575A,PINK DOG CANNISTER,98.8,24,13
20861,GOLD COSMETIC BAG PINK STAR,98.7,47,16
90163B,WHITE ROSEBUD & PEARL NECKLACE,98.45,13,9
20835,FRENCH LATTICE CUSHION COVER,98.04,81,10
90214R,"LETTER ""R"" BLING KEY RING",97.98,96,50
84705D,CHERRY BLOSSOM PHOTO FRAME,97.9,22,14
16161G,WRAP BAD HAIR DAY,97.5,975,33
90150,BLUE SHELL+SILVER NECKLACE,97.5,13,8
90067A,PINK VINTAGE VICTORIAN EARRINGS,97.24,33,16
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,96.6,46,6
90214G,"LETTER ""G"" BLING KEY RING",96.58,104,48
84465,15 PINK FLUFFY CHICKS IN BOX,96.51,32,23
85132b,CHARLIE AND LOLA TABLE TINS,95.84,10,10
71406C,BLACK ORANGE SQUEEZER,95.38,223,35
90059E,DIAMANTE HAIR GRIP PACK/2 RUBY,94.95,57,33
72606A,BROWN ANTIQUE CUBE CANDLE,94.92,226,18
90202C,GREEN ENAMEL FLOWER HAIR TIE,94.42,32,25
21595,Dad's Cab Electronic Meter,93.89,11,9
90089,PINK CRYSTAL SKULL PHONE CHARM,93.56,105,26
90026A,GLASS BEAD HOOP NECKLACE BLACK,93.47,11,9
90214D,"LETTER ""D"" BLING KEY RING",93.37,103,50
17084A,TRANQUILITY MASALA INCENSE,92.82,442,18
35913B,WHITE/PINK CHICK EASTER DECORATION,92.39,100,21
90075,MONTANA DIAMOND CLUSTER NECKLACE,92.18,10,8
84753A,PINK EAU DE COLOGNE BOTTLE,92.17,97,24
21343,GOLD JEWELERY BOX,92.0,20,3
90177B,DROP DIAMANTE EARRINGS BLACK DIAMON,91.38,31,19
90112,PINK DOLLY HAIR CLIPS,91.25,84,20
84437A,S/6 PINK EASTER DECS IN BOX,90.95,106,18
90202A,PURPLE ENAMEL FLOWER HAIR TIE,90.9,31,23
84388,WISE MAN STAR SHAPE EGG PAN,90.69,71,22
90039C,FIRE POLISHED GLASS BRACELET BLACK,90.46,24,12
72783,BLACK SIL'T SQU CANDLE PLATE,90.3,43,9
35271S,GOLD PRINT PAPER BAG,89.58,439,20
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,89.46,213,2
79026B,"S/4 ICON COASTER,ELVIS LIVES",89.25,69,37
90001D,ANTIQUE OLIVE GREEN FLOWER EARRINGS,89.2,21,11
47598,NEW ENGLAND EGG WARMER,89.12,138,32
20660,VIP LUGGAGE TAG,88.75,71,26
90162A,ANT SILVER TURQUOISE BOUDICCA RING,88.5,30,11
90162D,ANT SILVER PURPLE BOUDICCA RING,88.5,30,14
35638A,PINK AND BLACK STRING CURTAIN,88.05,39,6
71495A,CD WALL TIDY BLUE OFFICE,87.96,225,20
84596e,SMALL LICORICE DES PINK BOWL,87.85,35,17
84721,MANHATTAN CANVAS ART PICTURE,87.8,20,2
90092,BLUE CRYSTAL BOOT PHONE CHARM,87.51,102,10
84415B,BLUE FLOCK CUSHION COVER,87.5,26,7
84891B,GREEN WIRE GOBLET CANDLEHOLDER,87.45,11,6
37462B,"PET MUG, BUDGIE",87.28,170,32
35822B,"ACRYLIC BEAD CHAIN, BLUE",87.02,229,1
90088,CRYSTAL KEY+LOCK PHONE CHARM,86.7,101,14
23614,SET 10 CARDS 12 DAYS WRAP 17058,86.58,26,11
84251B,"GREETING CARD, STICKY GORDON",86.54,321,61
84424A,FOUR PICTURE WHITE GLASS FRAME,86.25,23,10
90012B,BLACK DROP CRYSTAL NECKLACE,85.9,17,6
90177E,DROP DIAMANTE EARRINGS GREEN,85.67,29,22
84454,WOBBLING METAL CHICKEN EASTER,85.53,93,18
85099c,JUMBO BAG BAROQUE BLACK WHITE,85.17,17,10
35838B,S/6 SILVER ORNAMENETAL CANDLE,85.0,100,23
90026D,GLASS BEAD HOOP NECKLACE AMETHYST,85.0,10,8
90183B,AMETHYST DROP EARRINGS W LONG BEADS,84.89,29,24
17027A,INCENSE BAZAAR CANNABIS,84.84,228,2
46775B,BERRIES CHUNKY KNITTED THROW,84.75,5,4
16051,TEATIME PENCIL W STAMP ASST,84.69,941,4
81952B,ROUND BLUE CLOCK W/SUCKER,84.56,254,20
84450B,PINK/YELLOW RABBIT SAT EASTER,84.55,139,35
84251F,"GREETING CARD, RITA",83.97,341,50
90141C,TURQ PENDANT TRIPLE SHELL NECKLACE,83.69,16,13
22016,Dotcomgiftshop Gift Voucher £100.00,83.33,1,1
23442,12 HANGING EGGS HAND PAINTED,83.2,40,7
90176D,DIAMANTE NECKLACE PURPLE,82.81,11,7
90039B,FIRE POLISHED GLASS BRACELET MONTAN,82.8,22,11
84030C,KNITTED RAINBOW HOT WATER BOTTLE,82.78,21,6
90002B,FLOWER BURST SILVER RING ROSE,82.74,22,11
90189A,SILVER 2 STRAND NECKLACE-LEAF CHARM,82.64,11,8
90130A,WHITE STONE/CRYSTAL EARRINGS,82.51,28,16
90069,RUBY GLASS CLUSTER NECKLACE,82.5,11,5
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,82.44,108,3
90214H,"LETTER ""H"" BLING KEY RING",81.96,88,53
35610C,WHITE CHRISTMAS FLOCK DROPLET,81.56,94,8
72779,SET/6 BLACK ROSE T-LIGHT CANDLES,81.12,48,15
16201B,PASTEL BLUE PHOTO ALBUM,81.1,34,5
90121B,VINTAGE ROSE BEAD BRACELET BLUE,80.75,19,9
84596I,WRAP SWEETS LIGHT PINK SMALL BOWL,80.62,72,10
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,80.6,124,1
DCGS0069,OOH LA LA DOGS COLLAR,80.31,5,5
35265,COLOURFUL FLOWER FRUIT BOWL,80.0,21,16
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,79.87,48,27
90206A,GOLD DIAMANTE STAR BROOCH,79.6,16,12
90125B,AQUA BERTIE GLASS BEAD BAG CHARM,79.57,44,17
84795E,RIO PINK STRIPE HAMMOCK,79.5,10,5
84548,CROCHET BEAR RED/BLUE KEYRING,79.2,48,13
90038B,GLASS AND PAINTED BEADS BRACELET OL,79.19,21,13
90064A,WHITE VINTAGE CRYSTAL EARRINGS,79.14,20,12
90214N,"LETTER ""N"" BLING KEY RING",78.95,81,43
90064B,BLACK VINTAGE CRYSTAL EARRINGS,78.75,21,12
72709,IVORY SCULPTED RND CANDLE,78.2,92,13
35931,PINK STAR CHRISTMAS DECORATION,78.12,156,15
84455,SET OF 3 RABBIT CARROTS EASTER,77.96,85,20
21450,DISTRESSED CANDLE STICK WHITE,77.35,13,3
90060D,FIRE POLISHED GLASS NECKL BRONZE,77.35,13,8
90050,CRACKED GLAZE NECKLACE IVORY,77.11,11,6
90176C,DIAMANTE NECKLACE,77.0,10,6
90214B,"LETTER ""B"" BLING KEY RING",76.98,80,40
84251C,"GREETING CARD, TWO SISTERS.",76.68,247,53
84425A,WHITE GLASS TV TRIPLE FRAME,76.6,18,9
90130C,GREEN STONE/CRYSTAL EARRINGS,76.58,26,24
37509,NEW ENGLAND MUG W GIFT BOX,76.5,30,14
90100,NECKLACE+BRACELET SET PINK DAISY,76.5,30,12
90020,FILIGREE DIAMANTE CHAIN,76.23,6,4
35815P,"ACRYLIC JEWEL SNOWFLAKE, PINK",75.88,168,7
90176A,CLASSIC DIAMANTE NECKLACE JET,75.88,10,7
90140,PINK SWEETIE NECKLACE,75.54,10,7
62043B,BLUE CHECK BAG W HANDLE 34X20CM,75.16,54,10
16161E,WRAP BOUDOIR,75.0,750,9
37399,"ASS RETROSPOOF MUGS,SPORTS",75.0,143,6
72802a,ROSE SCENT CANDLE IN JEWELLED BOX,74.97,9,4
72807a,SET/3 ROSE CANDLE IN JEWELLED BOX,74.79,9,6
84757,ENCHANTED GARDEN WROUGHT IRON TABLE,74.75,5,4
21267,VINTAGE PINK TINSEL REEL,74.6,24,10
90012A,MIDNIGHT BLUE DROP CRYSTAL NECKLACE,74.38,13,7
90187B,GREEN DROP EARRINGS W BEAD CLUSTER,73.99,22,15
84899E,YELLOW + BROWN BEAR FELT PURSE KIT,73.93,53,21
90074,BLACK DIAMOND CLUSTER NECKLACE,73.86,8,6
84593,CROCHET ROSE DES CLOTHES HANGER,73.75,25,7
15030,FAN BLACK FRAME,73.66,254,26
79331,PINK FLOCK GLASS CANDLEHOLDER,73.6,60,9
16151A,FLOWERS HANDBAG blue and orange,72.5,52,5
84447,6 RABBIT CHAIN EASTER,72.42,69,19
84427B,BLACK GLASS TV DOUBLE P/FRAME 15X10,72.25,17,5
90027D,GLASS BEAD HOOP EARRINGS AMETHYST,72.18,23,16
84746,PINK EASTER HENS+FLOWER,72.06,23,16
90031,BILI NUT AND WOOD NECKLACE,71.9,52,9
90038C,GLASS AND BEADS BRACELET IVORY,71.46,19,9
35937,CERISE+GOLD CHRISTMAS STOCKING DEC,71.44,188,17
84925C,FAIRY CAKES WALL THERMOMETER,71.4,28,10
84415A,PINK FLOCK SUEDE CUSHION COVER,71.25,27,6
90037B,TINY CRYSTAL BRACELET GREEN,71.17,28,10
90179A,AMBER FINE BEAD NECKLACE W TASSEL,71.0,12,9
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,70.98,169,10
84803B,WHITE ALLIUM ARTIFICIAL FLOWER,70.98,42,11
84086B,YELLOW/BLUE RETRO RADIO,70.8,24,12
20958,PORCELAIN HANGING BELL LARGE,70.5,38,10
90202B,WHITE ENAMEL FLOWER HAIR TIE,70.49,24,16
90205A,LARGE MINT DIAMANTE HAIRSLIDE,70.22,42,22
90141B,IVORY PENDANT TRIPLE SHELL NECKLACE,70.03,14,9
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,69.83,42,23
90131,PINK/AMETHYST/GOLD NECKLACE,69.62,10,5
gift_0001_80,Dotcomgiftshop Gift Voucher £80.00,69.56,1,1
20820,SILVER LOOKING MIRROR,69.3,14,8
72140F,HAPPY ANNIVERSARY CANDLE LETTERS,69.18,175,14
90214P,"LETTER ""P"" BLING KEY RING",69.14,80,33
71215,METAL BASE FOR CANDLES,68.52,178,12
47420,ASSORTED COLOUR SUCTION CUP HOOK,68.4,360,31
84857A,SILVER MONTE CARLO HANDBAG,68.0,8,3
DCGS0004,HAYNES CAMPER SHOULDER BAG,67.94,4,4
90026B,GLASS BEAD HOOP NECKLACE MONTANA,67.82,8,7
90026C,GLASS BEAD HOOP NECKLACE GREEN,67.82,8,6
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,67.8,57,11
90002E,FLOWER BURST SILVER RING GREEN,67.77,18,11
84864A,PINK PAISLEY PHOTO ALBUM,67.71,7,4
90078,PINK/WHITE GLASS DEMI CHOKER,67.64,9,5
90024F,NEW BAROQUE B'FLY NECKLACE CRYSTAL,67.61,8,6
47341B,BLUE TABLE RUN FLOWER,67.5,48,14
84926B,SCOTTS ROSES TILE COASTER,67.5,54,10
90212C,PURPLE LAS VEGAS BRACELET ROUND,67.5,18,7
47504J,ENGLISH ROSE SET/3 GARDEN TOOLS,67.25,5,4
35819P,"ACRYLIC HANGING JEWEL,PINK",66.55,95,7
90037A,TINY CRYSTAL BRACELET RED,66.31,26,12
40002,WHITE BAMBOO RIBS LAMPSHADE,66.3,78,1
90037C,TINY CRYSTAL BRACELET BLUE,66.08,26,13
85072,OCCASIONS GIFT CARD ASSORTMENT,66.0,120,1
79329,PINK FLOCK GLASS CANDLEHOLDER,65.94,100,7
84340,LARGE FIBRE OPTIC CHRISTMAS TREE,65.76,21,11
79406,FROSTED WHITE BASE,65.62,259,21
90179B,PURPLE FINE BEAD NECKLACE W TASSEL,65.31,11,9
47016,LIGHT DECORATION BATTERY OPERATED,65.1,31,5
84705A,ENGLISH ROSE PHOTO FRAME,65.1,14,7
84551,CROCHET DOG KEYRING,64.35,39,8
90046,WHITE WITH METAL BAG CHARM,64.35,13,7
47348A,FUSCHIA VOILE POINTY SHOE DEC,63.96,104,16
79534,MULTICOLOUR GLASS PLATE,63.8,116,16
20791,BLUE TILED SET OF 3 DRAWERS,63.75,5,1
85018A,S/6 PAPER BOXES ROMANTIC IMAGES,63.75,15,10
85018B,S/6 PAPER BOXES BLOSSOM IMAGES,63.75,15,10
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,63.5,10,4
37491D,PURPLE/BLUE CERAMIC CANDLE HOLDER,63.28,26,13
90214I,"LETTER ""I"" BLING KEY RING",62.7,64,27
84529B,BLUE KNITTED KID'S RUCKSACK,62.35,13,5
35607B,BLACK FEATHER CHRISTMAS DECORATION,62.3,312,17
17136A,BLUE STONES ON WIRE FOR CANDLE,61.78,743,34
20620,RED SPOTTY PASSPORT COVER,61.76,15,14
35817B,"ACRYLIC JEWEL SNOWFLAKE,BLUE",61.3,143,3
35973,GERANIUM FOLKART HEART DECORATION,61.25,49,13
35910B,PINK FLOWERS RABBIT EASTER,61.07,29,8
90188,DROP EARRINGS W FLOWER & LEAF,61.04,24,20
84660b,BLACK STITCHED WALL CLOCK,60.8,8,6
90034,WHITE SILVER NECKLACE SHELL GLASS,60.67,6,5
84875A,PINK SQUARE COMPACT MIRROR,60.0,16,12
23629,SET 10 CARDS DRESSING UP 17077,59.76,24,10
90021,LASER CUT MULTI STRAND NECKLACE,59.75,5,4
90171,DAISY RING,59.65,47,27
gift_0001_70,Dotcomgiftshop Gift Voucher £70.00,59.57,1,1
44241C,BLUE BUTTERFLY ON SPRING,59.5,70,8
84582,PINK CROCHET CAT WITH SCARF,59.5,14,11
35654,VINTAGE BEAD FILLED PINK CUSHION,59.4,12,5
35001B,HAND OPEN SHAPE BLACK,59.33,17,6
90011B,BLACK CRYSTAL DROP EARRINGS,59.06,20,15
35909A,RABBIT EASTER DECORATION,59.0,20,5
81985A,"ICON ALARM CLOCK,FUSCHIA PIN UP",58.65,23,7
85023C,PINK LARGE JEWELED PHOTOFRAME,58.65,23,11
90033,IVORY SHELL HEART EARRINGS,58.43,23,18
84226,HEN HOUSE W FAMILY IN BARN & NEST,58.31,77,18
35816B,"ACRYLIC JEWEL ANGEL,BLUE",58.07,139,3
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,57.98,86,11
35821B,"JEWELLED DECORATION,BLUE",57.0,150,3
72771B,BURG FLOCK GOLD CUP/CANDLE,56.9,117,8
47344B,BLUE FLOWER DES PURSE,56.16,54,10
85023A,CRYSTAL LARGE JEWELLED PHOTO FRAME,56.1,22,10
85080,PADDED RED HEART DECORATION,55.76,113,22
90182C,BLACK 3 BEAD DROP EARRINGS,55.74,19,13
90177A,CLASSIC DIAMANTE EARRINGS JET,55.69,19,14
90214T,"LETTER ""T"" BLING KEY RING",55.57,57,24
46115B,GREEN POP ART MAO CUSHION COVER,55.48,292,22
84559b,3D SHEET OF CAT STICKERS,55.23,33,25
90001B,ANTIQUE MID BLUE FLOWER EARRINGS,55.12,13,10
85151,WELCOME METAL SIGN,55.0,44,8
72798C,SET/4 GARDEN ROSE DINNER CANDLE,54.76,29,15
90135A,ORANGE/FUSCHIA STONES NECKLACE,54.62,11,4
